id	DSS	day	bwc	vwr
SvBi087	2	2	97.7	104.3
SvBi087	2	3	98.2	102.9
SvBi087	2	4	98.6	89.2
SvBi087	2	5	95	63.1
SvBi087	2	6	85.3	33.9
SvBi088	2	0	100	80.6
SvBi088	2	1	94.9	80.6
SvBi088	2	2	100	79.8
SvBi088	2	3	100	91.4
SvBi088	2	4	101	71.1
SvBi088	2	5	98	30.1
SvBi088	2	6	88.3	16.6
SvBi088	2	7	84.8	10.8
SvBi088	2	8	80.2	3.9
