id	DSS	day	bwc	vwr
SvBi055	0	5	99.5	47.3
SvBi055	0	6	98.2	60.3
SvBi055	0	7	100.5	86.1
SvBi055	0	8	99.1	81.4
SvBi055	0	9	98.2	99.8
SvBi055	0	10	96.8	87.3
SvBi055	0	11	96.8	99.7
SvBi055	0	12	98.6	96.2
SvBi055	0	13	98.2	83.7
SvBi056	1	0	100	91.6
SvBi056	1	1	97.7	89.6
SvBi056	1	2	96.3	90.6
SvBi056	1	3	97.2	93.7
SvBi056	1	4	96.7	100.8
SvBi056	1	5	97.7	53
SvBi056	1	6	91.6	54.1
SvBi056	1	7	87.4	37.2
SvBi056	1	8	87	41.6
SvBi056	1	9	87.9	63.6
SvBi056	1	10	87.4	65.8
SvBi056	1	11	93.5	67.5
SvBi056	1	12	101.9	72.8
SvBi056	1	13	100.9	106.3
SvBi068	1	0	100	97.2
SvBi068	1	1	98.6	115.7
SvBi068	1	2	99.1	94.7
SvBi068	1	3	98.2	87.5
SvBi068	1	4	99.1	102.5
SvBi068	1	5	96.4	38.1
SvBi068	1	6	92.7	36.2
SvBi068	1	7	91.4	40.2
SvBi068	1	8	94.1	48.6
SvBi068	1	9	95.9	58.9
SvBi068	1	10	98.2	61.7
SvBi068	1	11	99.5	103.3
SvBi068	1	12	101.4	69.5
SvBi068	1	13	101.4	79.7
SvBi069	1	0	100	64.1
SvBi069	1	1	101	99.4
SvBi069	1	2	106.2	97.8
SvBi069	1	3	105.1	102.5
SvBi069	1	4	106.2	65.3
SvBi069	1	5	99	28
SvBi069	1	6	93.3	23.9
SvBi069	1	7	90.3	11.7
SvBi069	1	8	91.3	11.1
SvBi069	1	9	92.8	27.2
SvBi069	1	10	103.1	38.6
SvBi069	1	11	103.1	46.1
SvBi069	1	12	103.1	79.5
SvBi069	1	13	104.1	57.2
SvBi071	1	0	100	103.5
SvBi071	1	1	97.1	87.1
SvBi071	1	2	98.1	90.2
SvBi071	1	3	98.1	83.5
SvBi071	1	4	97.1	100.7
SvBi071	1	5	96.6	79.7
SvBi071	1	6	88.4	83.1
SvBi071	1	7	90.8	77.1
SvBi071	1	8	91.8	71.7
SvBi071	1	9	95.2	81.6
SvBi071	1	10	95.7	77.6
SvBi071	1	11	95.7	94
SvBi071	1	12	94.2	94.3
SvBi071	1	13	99.5	96.1
SvBi072	1	0	100	94.1
SvBi072	1	1	99.5	98.8
SvBi072	1	2	103.3	92.9
SvBi072	1	3	106.1	137.1
SvBi072	1	4	102.8	63.1
SvBi072	1	5	97.6	31.2
SvBi072	1	6	91.5	19.6
SvBi072	1	7	89.6	8.7
SvBi072	1	8	90.6	14
SvBi072	1	9	96.2	27.2
SvBi072	1	10	106.6	51.1
SvBi072	1	11	107.1	57.3
SvBi072	1	12	107.5	70.4
SvBi072	1	13	108.5	110.7
SvBi074	1	0	100	156.4
SvBi074	1	1	102.7	145.7
SvBi074	1	2	100.9	122.9
SvBi074	1	3	99.5	110.4
SvBi074	1	4	100	134.9
SvBi074	1	5	100.9	84
SvBi074	1	6	94.5	105.9
SvBi074	1	7	93.2	106.8
SvBi074	1	8	101.4	89.7
SvBi074	1	9	99.1	106.4
SvBi074	1	10	100.5	106.8
SvBi074	1	11	101.8	135.7
SvBi074	1	12	100	106.3
SvBi074	1	13	100.9	118.5
SvBi089	2	0	100	87.5
SvBi089	2	1	99.5	79.5
SvBi089	2	2	99.5	93.5
SvBi089	2	3	100.9	103.2
SvBi089	2	4	103.2	112
SvBi089	2	5	97.7	75.6
SvBi089	2	6	86.9	48.7
SvBi089	2	7	80.2	13.5
SvBi091	2	0	100	109.1
SvBi091	2	1	99	95.6
SvBi091	2	2	98.1	90.1
SvBi091	2	3	99	105.6
SvBi091	2	4	101	87.5
SvBi091	2	5	99	42.8
SvBi091	2	6	92.2	31.7
SvBi091	2	7	86.4	34.2
SvBi091	2	8	83	30.1
SvBi091	2	9	85	20.8
SvBi091	2	10	91.7	30.9
SvBi091	2	11	97.6	42.9
SvBi091	2	12	104.4	50.9
